host,time,readable_time,Abs-Humidity-ACT,Abs-Humidity-MAX,Abs-Humidity-MIN,Abs-Humidity-SET,Fan-Circ-ACT,Fan-Circ-MAX,Fan-Circ-MIN,Fan-Circ-SET,Fan-Exhaust-ACT,Fan-Exhaust-MAX,Fan-Exhaust-MIN,Fan-Exhaust-SET,Pressure-ACT,Pressure-MAX,Pressure-MIN,Pressure-SET,Rel-Humidity-ACT,Rel-Humidity-MAX,Rel-Humidity-MIN,Rel-Humidity-SET,STATUS,Temperature-ACT,Temperature-MAX,Temperature-MIN,Temperature-SET
,1584431107000,2020-03-17T15:45:07Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.76,85,-45,25
,1584431112000,2020-03-17T15:45:12Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.709999,85,-45,25
,1584431122000,2020-03-17T15:45:22Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.73,85,-45,25
,1584431127000,2020-03-17T15:45:27Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.75,85,-45,25
,1584431133000,2020-03-17T15:45:33Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.719999,85,-45,25
,1584431138000,2020-03-17T15:45:38Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.719999,85,-45,25
,1584431143000,2020-03-17T15:45:43Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.719999,85,-45,25
,1584431148000,2020-03-17T15:45:48Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.75,85,-45,25
,1584431153000,2020-03-17T15:45:53Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.719999,85,-45,25
,1584431163000,2020-03-17T15:46:03Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.75,85,-45,25
,1584431168000,2020-03-17T15:46:08Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.709999,85,-45,25
,1584431174000,2020-03-17T15:46:14Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.690001,85,-45,25
,1584431179000,2020-03-17T15:46:19Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.67,85,-45,25
,1584431194000,2020-03-17T15:46:34Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.65,85,-45,25
,1584431210000,2020-03-17T15:46:50Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.66,85,-45,25
,1584431215000,2020-03-17T15:46:55Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.67,85,-45,25
,1584431225000,2020-03-17T15:47:05Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.66,85,-45,25
,1584431240000,2020-03-17T15:47:20Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.620001,85,-45,25
,1584431251000,2020-03-17T15:47:31Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.6,85,-45,25
,1584431261000,2020-03-17T15:47:41Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.6,85,-45,25
,1584431266000,2020-03-17T15:47:46Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.58,85,-45,25
,1584431276000,2020-03-17T15:47:56Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.549999,85,-45,25
,1584431281000,2020-03-17T15:48:01Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.530001,85,-45,25
,1584431287000,2020-03-17T15:48:07Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.51,85,-45,25
,1584431292000,2020-03-17T15:48:12Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584431307000,2020-03-17T15:48:27Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584431323000,2020-03-17T15:48:43Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584431328000,2020-03-17T15:48:48Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
,1584431333000,2020-03-17T15:48:53Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584431343000,2020-03-17T15:49:03Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.459999,85,-45,25
,1584431353000,2020-03-17T15:49:13Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584431364000,2020-03-17T15:49:24Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.440001,85,-45,25
,1584431374000,2020-03-17T15:49:34Z,4.110843,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584431379000,2020-03-17T15:49:39Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.459999,85,-45,25
,1584431384000,2020-03-17T15:49:44Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584431389000,2020-03-17T15:49:49Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.48,85,-45,25
,1584431395000,2020-03-17T15:49:55Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.5,85,-45,25
